epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1096,1.85287,2.80682,1.51517,0.37808,0.38633,0.42843,0.23532,1.45498,2.0697,1.32684,0.000407986,0.000407986,0.000407986
2,57.1885,1.36229,1.45229,1.21264,0.77539,0.41698,0.50139,0.28719,1.44835,1.45173,1.33208,0.000816489,0.000816489,0.000816489
3,72.7436,1.37883,1.34361,1.20987,0.71246,0.53553,0.61989,0.3661,1.37066,1.28951,1.27702,0.00121674,0.00121674,0.00121674
4,88.9737,1.37935,1.23283,1.21288,0.52233,0.58026,0.57277,0.31451,1.44828,1.26956,1.39361,0.00121287,0.00121287,0.00121287
5,104.537,1.34675,1.19547,1.21589,0.6889,0.58599,0.63633,0.37929,1.36749,1.22591,1.30434,0.0012005,0.0012005,0.0012005
6,120.056,1.28974,1.11949,1.18043,0.64129,0.64506,0.69686,0.42217,1.32373,1.11997,1.24968,0.00118812,0.00118812,0.00118812
7,135.457,1.28329,1.09499,1.16889,0.63458,0.61232,0.65952,0.37197,1.40599,1.24493,1.352,0.00117575,0.00117575,0.00117575
8,150.894,1.25759,1.07843,1.1718,0.6765,0.69236,0.73081,0.44703,1.27434,1.00221,1.23175,0.00116337,0.00116337,0.00116337
9,166.195,1.25561,1.0235,1.16395,0.67443,0.76222,0.76044,0.47782,1.24659,0.94629,1.21672,0.001151,0.001151,0.001151
10,181.506,1.29353,1.05517,1.1857,0.64425,0.69272,0.72158,0.43231,1.33656,1.08991,1.256,0.00113863,0.00113863,0.00113863
11,196.662,1.26383,1.00936,1.15608,0.7812,0.6403,0.74508,0.45934,1.25718,1.0209,1.23438,0.00112625,0.00112625,0.00112625
12,211.871,1.23606,0.99142,1.15398,0.69507,0.71557,0.75646,0.47604,1.23605,0.93689,1.21305,0.00111388,0.00111388,0.00111388
13,227.012,1.20975,0.97293,1.13383,0.66928,0.7489,0.75727,0.4781,1.22447,0.98016,1.21164,0.0011015,0.0011015,0.0011015
14,242.756,1.21641,0.95024,1.14124,0.64007,0.79413,0.77013,0.49777,1.19472,0.9423,1.20084,0.00108913,0.00108913,0.00108913
15,258.031,1.22592,0.93823,1.14035,0.70194,0.71556,0.74471,0.47121,1.24252,0.94153,1.23018,0.00107675,0.00107675,0.00107675
16,273.621,1.20478,0.91611,1.12117,0.74112,0.7635,0.80508,0.51176,1.20996,0.82705,1.20306,0.00106437,0.00106437,0.00106437
17,289.465,1.19808,0.91589,1.1313,0.77766,0.75414,0.81458,0.51709,1.21037,0.82874,1.2031,0.001052,0.001052,0.001052
18,305.017,1.15875,0.85829,1.1081,0.7285,0.78922,0.81943,0.52097,1.198,0.8149,1.19354,0.00103962,0.00103962,0.00103962
19,320.297,1.1777,0.87788,1.10706,0.73474,0.75198,0.79729,0.5096,1.21163,0.92337,1.19041,0.00102725,0.00102725,0.00102725
20,335.499,1.19152,0.92522,1.1255,0.73716,0.73677,0.78309,0.50684,1.20955,0.90913,1.21414,0.00101488,0.00101488,0.00101488
21,351.622,1.16408,0.89867,1.11359,0.73127,0.80546,0.83143,0.53239,1.19754,0.82678,1.18578,0.0010025,0.0010025,0.0010025
22,369.515,1.18417,0.87105,1.12128,0.79048,0.72461,0.80908,0.53111,1.17982,0.82997,1.19476,0.000990125,0.000990125,0.000990125
23,384.689,1.14195,0.84368,1.10253,0.68198,0.78531,0.79326,0.52429,1.17047,0.83729,1.17177,0.00097775,0.00097775,0.00097775
24,399.844,1.15842,0.82478,1.10109,0.76123,0.80395,0.84517,0.55044,1.20969,0.77893,1.19344,0.000965375,0.000965375,0.000965375
25,415.116,1.1593,0.85243,1.11004,0.75619,0.78393,0.81773,0.53481,1.18466,0.82363,1.17315,0.000953,0.000953,0.000953
26,430.496,1.13475,0.8195,1.09119,0.78988,0.77578,0.83464,0.54092,1.18916,0.77095,1.17458,0.000940625,0.000940625,0.000940625
27,445.923,1.13506,0.82415,1.09876,0.75477,0.77831,0.81254,0.52662,1.17644,0.78211,1.18097,0.00092825,0.00092825,0.00092825
28,461.276,1.11637,0.82297,1.08246,0.78548,0.7898,0.8392,0.55022,1.1799,0.74412,1.18003,0.000915875,0.000915875,0.000915875
29,476.562,1.11534,0.83684,1.08994,0.80536,0.75984,0.83556,0.558,1.16579,0.7682,1.16898,0.0009035,0.0009035,0.0009035
30,491.859,1.10832,0.80146,1.08653,0.76366,0.81783,0.83489,0.54453,1.18616,0.76264,1.1884,0.000891125,0.000891125,0.000891125
31,507.104,1.10386,0.77307,1.08017,0.77471,0.79625,0.84181,0.55024,1.17774,0.77861,1.19645,0.00087875,0.00087875,0.00087875
32,522.729,1.09992,0.79165,1.07115,0.80518,0.78351,0.8353,0.54773,1.17719,0.75777,1.18035,0.000866375,0.000866375,0.000866375
33,538.242,1.10986,0.77894,1.08644,0.81216,0.80279,0.85814,0.56455,1.16788,0.71718,1.1776,0.000854,0.000854,0.000854
34,553.5,1.06999,0.74888,1.06292,0.7831,0.76812,0.81915,0.53477,1.17467,0.80607,1.18709,0.000841625,0.000841625,0.000841625
35,568.775,1.09049,0.77504,1.08143,0.74398,0.82896,0.83906,0.55601,1.17609,0.80787,1.17951,0.00082925,0.00082925,0.00082925
36,584.037,1.10293,0.76284,1.08187,0.77117,0.7935,0.84175,0.56803,1.14212,0.74456,1.16316,0.000816875,0.000816875,0.000816875
37,599.238,1.07437,0.74123,1.05991,0.76912,0.81692,0.83774,0.56039,1.16757,0.71212,1.17141,0.0008045,0.0008045,0.0008045
38,614.654,1.08492,0.7472,1.05792,0.76216,0.791,0.82554,0.54801,1.13978,0.78483,1.15237,0.000792125,0.000792125,0.000792125
39,629.826,1.05763,0.73182,1.05863,0.81194,0.79498,0.84417,0.56598,1.14069,0.71689,1.17969,0.00077975,0.00077975,0.00077975
40,645.07,1.06538,0.71881,1.05158,0.7903,0.84397,0.84156,0.56117,1.149,0.71251,1.15813,0.000767375,0.000767375,0.000767375
41,660.239,1.05142,0.71269,1.05777,0.75463,0.78572,0.80676,0.54238,1.1411,0.86594,1.16483,0.000755,0.000755,0.000755
42,675.795,1.04362,0.7109,1.05212,0.81243,0.7992,0.8563,0.57109,1.14853,0.70092,1.16979,0.000742625,0.000742625,0.000742625
43,691.92,1.05077,0.72204,1.05444,0.82176,0.78439,0.84488,0.56645,1.16828,0.73062,1.16686,0.00073025,0.00073025,0.00073025
44,708.168,1.04442,0.71938,1.05315,0.77966,0.82449,0.84536,0.56661,1.12833,0.7176,1.15703,0.000717875,0.000717875,0.000717875
45,724.754,1.09395,0.79339,1.06385,0.81695,0.80311,0.85637,0.57892,1.15031,0.72344,1.15821,0.0007055,0.0007055,0.0007055
46,741.175,1.02865,0.69476,1.04006,0.81181,0.81648,0.85571,0.5727,1.15345,0.69979,1.17248,0.000693125,0.000693125,0.000693125
47,756.722,1.04115,0.69663,1.04709,0.77655,0.84561,0.84919,0.5694,1.14059,0.71604,1.16536,0.00068075,0.00068075,0.00068075
48,772.687,1.05489,0.70515,1.04718,0.84055,0.79352,0.86011,0.5771,1.13312,0.68332,1.15463,0.000668375,0.000668375,0.000668375
49,788.094,1.04735,0.70474,1.03736,0.77763,0.82767,0.8458,0.57847,1.12499,0.71523,1.14921,0.000656,0.000656,0.000656
50,803.498,1.03441,0.6896,1.03462,0.79184,0.83829,0.85473,0.57975,1.12431,0.6862,1.14972,0.000643625,0.000643625,0.000643625
51,819.065,1.01216,0.67419,1.02799,0.85206,0.76517,0.84681,0.57921,1.11221,0.69324,1.13874,0.00063125,0.00063125,0.00063125
52,834.582,1.04915,0.71708,1.04576,0.8518,0.80551,0.87186,0.59299,1.10557,0.68787,1.14623,0.000618875,0.000618875,0.000618875
53,850.065,1.01175,0.66176,1.02783,0.81749,0.81793,0.8591,0.58873,1.11481,0.68465,1.14039,0.0006065,0.0006065,0.0006065
54,865.828,1.015,0.66844,1.02801,0.8193,0.83412,0.86489,0.58763,1.10334,0.65024,1.13077,0.000594125,0.000594125,0.000594125
55,881.075,1.01981,0.67514,1.02373,0.79918,0.85441,0.86857,0.59253,1.12453,0.69159,1.15623,0.00058175,0.00058175,0.00058175
56,896.543,1.02057,0.67142,1.03596,0.83221,0.81769,0.87122,0.58858,1.13838,0.68082,1.16379,0.000569375,0.000569375,0.000569375
57,911.779,1.01372,0.65911,1.02652,0.80772,0.80687,0.86382,0.59814,1.11919,0.67833,1.15147,0.000557,0.000557,0.000557
58,927.533,0.97128,0.61338,1.01812,0.81551,0.8315,0.86403,0.59492,1.10103,0.66193,1.14145,0.000544625,0.000544625,0.000544625
59,943.078,0.98538,0.62721,1.01899,0.86789,0.81096,0.87539,0.60378,1.0991,0.65551,1.13649,0.00053225,0.00053225,0.00053225
60,958.487,0.9755,0.63193,1.01751,0.77777,0.84542,0.84038,0.58445,1.11154,0.6961,1.13925,0.000519875,0.000519875,0.000519875
61,973.581,0.97878,0.62491,1.00335,0.85106,0.82617,0.88499,0.61351,1.10073,0.64876,1.13102,0.0005075,0.0005075,0.0005075
62,988.781,0.95346,0.60517,0.9991,0.85412,0.82769,0.88055,0.61276,1.09292,0.64893,1.13117,0.000495125,0.000495125,0.000495125
63,1003.97,0.97443,0.62151,1.00717,0.82496,0.84281,0.86878,0.60024,1.09978,0.64613,1.12978,0.00048275,0.00048275,0.00048275
64,1019.44,0.95581,0.61163,1.00052,0.82831,0.84675,0.86745,0.60607,1.0795,0.62753,1.13457,0.000470375,0.000470375,0.000470375
65,1034.59,0.972,0.60004,1.00398,0.83102,0.84866,0.86042,0.59594,1.07571,0.64229,1.13008,0.000458,0.000458,0.000458
